data,persona_id,descricao,categoria,valor,tipo,meio,cartao_relacionado,observacao
2026-04-27,PRI-001,Pró-labore,pro_labore,42194.5,receita,transferencia,Bradesco Principal,Transação fictícia para simulação de alta renda
2026-05-01,PRI-001,Viagem internacional,viagens,58289.18,saida,transferencia,The Platinum Card®,Transação fictícia para simulação de alta renda
2026-05-04,PRI-001,Cartão adicional familiar,cartao_adicional,5146.66,saida,cambio,The Platinum Card®,Transação fictícia para simulação de alta renda
2026-05-05,PRI-001,Combustível e mobilidade,mobilidade,3425.95,saida,investimento,The Platinum Card®,Transação fictícia para simulação de alta renda
2026-05-05,PRI-001,Doação/impacto social,impacto_social,2226.3,saida,debito_conta,Visa Aeternum,Transação fictícia para simulação de alta renda
2026-05-07,PRI-001,Hotel premium,viagens,27253.07,saida,debito_conta,Outro cartão premium,Transação fictícia para simulação de alta renda
2026-05-07,PRI-001,Câmbio turismo,cambio,28172.33,saida,cartao_credito,The Platinum Card®,Transação fictícia para simulação de alta renda
2026-05-09,PRI-001,Restaurante premium,lifestyle,1571.47,saida,transferencia,Visa Aeternum,Transação fictícia para simulação de alta renda
2026-05-09,PRI-001,Assinaturas e serviços digitais,servicos_digitais,1304.77,saida,debito_conta,Outro cartão premium,Transação fictícia para simulação de alta renda
2026-05-10,PRI-001,Seguro residencial,protecao,1349.1,saida,cartao_credito,Visa Aeternum,Transação fictícia para simulação de alta renda
2026-05-13,PRI-001,Dividendos empresariais,dividendos,112465.03,receita,transferencia,Visa Aeternum,Transação fictícia para simulação de alta renda
2026-05-20,PRI-001,Pró-labore,pro_labore,55989.27,receita,investimento,Bradesco Principal,Transação fictícia para simulação de alta renda
2026-05-25,PRI-001,Viagem internacional,viagens,32798.98,saida,cambio,The Platinum Card®,Transação fictícia para simulação de alta renda
2026-05-30,PRI-001,Restaurante premium,lifestyle,1613.56,saida,cartao_credito,The Platinum Card®,Transação fictícia para simulação de alta renda
2026-05-31,PRI-001,Seguro residencial,protecao,1148.68,saida,transferencia,Bradesco Principal,Transação fictícia para simulação de alta renda
